epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10492.2,0.20988,0.30451,0.7948,0.99484,0.97041,0.9882,0.98575,0.12266,0.17566,0.7704,0.007921,0.007921,0.007921
44,10573.3,0.20944,0.30496,0.79524,0.99499,0.97191,0.98827,0.9852,0.12467,0.17298,0.77172,0.0078715,0.0078715,0.0078715
45,10655.4,0.20593,0.29943,0.79457,0.99374,0.97409,0.98832,0.98556,0.12201,0.17069,0.7708,0.007822,0.007822,0.007822
46,10736.1,0.20537,0.2981,0.79523,0.99208,0.97357,0.98884,0.98586,0.12079,0.17209,0.77033,0.0077725,0.0077725,0.0077725
47,10820.1,0.20289,0.29644,0.79491,0.99427,0.97244,0.98858,0.98612,0.12098,0.17002,0.76991,0.007723,0.007723,0.007723
48,10900.7,0.20197,0.29054,0.79356,0.99435,0.97284,0.98853,0.9857,0.11947,0.16723,0.77039,0.0076735,0.0076735,0.0076735
49,10990.8,0.20141,0.28932,0.79359,0.99342,0.97431,0.98874,0.9864,0.11806,0.165,0.76943,0.007624,0.007624,0.007624
50,11072.5,0.19852,0.28557,0.79293,0.9949,0.97386,0.98855,0.98601,0.11954,0.16585,0.77019,0.0075745,0.0075745,0.0075745
51,11153.8,0.19733,0.28008,0.79357,0.99231,0.97478,0.9884,0.98583,0.11674,0.16415,0.76918,0.007525,0.007525,0.007525
52,11245.4,0.19582,0.28059,0.79189,0.99469,0.9747,0.98903,0.98671,0.11749,0.16242,0.76941,0.0074755,0.0074755,0.0074755
53,11327.6,0.19549,0.27732,0.79126,0.99454,0.97249,0.98869,0.98673,0.1169,0.16693,0.76868,0.007426,0.007426,0.007426
54,11413.4,0.19461,0.28064,0.7928,0.99369,0.9744,0.98882,0.98665,0.11459,0.16079,0.76882,0.0073765,0.0073765,0.0073765
